No.;Layer;Latency [ms];Energy [mJ]
1;/backbone/conv1/Conv;30.22656;3.4620239773776924
2;/backbone/layer1/layer1.0/conv1/Conv;2.87872;0.8698976278657287
3;/backbone/layer1/layer1.0/conv2/Conv;34.54464;3.756396245357025
4;/backbone/layer1/layer1.0/conv3/Conv;11.51488;2.325533165620744
5;/backbone/layer1/layer1.0/downsample/downsample.0/Conv;11.51488;2.325533165620744
6;/backbone/layer1/layer1.1/conv1/Conv;11.51488;2.7462564249757584
7;/backbone/layer1/layer1.1/conv2/Conv;34.54464;3.756396245357025
8;/backbone/layer1/layer1.1/conv3/Conv;11.51488;2.325533165620744
9;/backbone/layer1/layer1.2/conv1/Conv;11.51488;2.7462564249757584
10;/backbone/layer1/layer1.2/conv2/Conv;34.54464;3.756396245357025
11;/backbone/layer1/layer1.2/conv3/Conv;11.51488;2.325533165620744
12;/backbone/layer2/layer2.0/conv1/Conv;23.02976;4.714975325640362
13;/backbone/layer2/layer2.0/conv2/Conv;34.74432;4.180477137629588
14;/backbone/layer2/layer2.0/conv3/Conv;11.58144;1.953205722615638
15;/backbone/layer2/layer2.0/downsample/downsample.0/Conv;23.16288;4.560506224543904
16;/backbone/layer2/layer2.1/conv1/Conv;11.58144;2.680616280567638
17;/backbone/layer2/layer2.1/conv2/Conv;34.74432;3.2368349018575753
18;/backbone/layer2/layer2.1/conv3/Conv;11.58144;1.953205722615638
19;/backbone/layer2/layer2.2/conv1/Conv;11.58144;2.680616280567638
20;/backbone/layer2/layer2.2/conv2/Conv;34.74432;3.2368349018575753
21;/backbone/layer2/layer2.2/conv3/Conv;11.58144;1.953205722615638
22;/backbone/layer2/layer2.3/conv1/Conv;11.58144;2.680616280567638
23;/backbone/layer2/layer2.3/conv2/Conv;34.74432;3.2368349018575753
24;/backbone/layer2/layer2.3/conv3/Conv;11.58144;1.953205722615638
25;/backbone/layer3/layer3.0/conv1/Conv;23.16288;4.044481332865608
26;/backbone/layer3/layer3.0/conv2/Conv;138.97728;13.083266795586445
27;/backbone/layer3/layer3.0/conv3/Conv;46.32576;7.437335806754732
28;/backbone/layer3/layer3.0/downsample/downsample.0/Conv;92.65152;14.920230897514774
29;/backbone/layer3/layer3.1/conv1/Conv;46.32576;8.838042235416443
30;/backbone/layer3/layer3.1/conv2/Conv;138.97728;13.083266795586445
31;/backbone/layer3/layer3.1/conv3/Conv;46.32576;7.437335806754732
32;/backbone/layer3/layer3.2/conv1/Conv;46.32576;8.838042235416443
33;/backbone/layer3/layer3.2/conv2/Conv;138.97728;13.083266795586445
34;/backbone/layer3/layer3.2/conv3/Conv;46.32576;7.437335806754732
35;/backbone/layer3/layer3.3/conv1/Conv;46.32576;8.838042235416443
36;/backbone/layer3/layer3.3/conv2/Conv;138.97728;13.083266795586445
37;/backbone/layer3/layer3.3/conv3/Conv;46.32576;7.437335806754732
38;/backbone/layer3/layer3.4/conv1/Conv;46.32576;8.838042235416443
39;/backbone/layer3/layer3.4/conv2/Conv;138.97728;13.083266795586445
40;/backbone/layer3/layer3.4/conv3/Conv;46.32576;7.437335806754732
41;/backbone/layer3/layer3.5/conv1/Conv;46.32576;8.838042235416443
42;/backbone/layer3/layer3.5/conv2/Conv;138.97728;13.083266795586445
43;/backbone/layer3/layer3.5/conv3/Conv;46.32576;7.437335806754732
44;/backbone/layer4/layer4.0/conv1/Conv;92.65152;17.263722854018575
45;/backbone/layer4/layer4.0/conv2/Conv;555.90912;49.94346843080092
46;/backbone/layer4/layer4.0/conv3/Conv;185.30304;32.93118573671429
47;/backbone/layer4/layer4.0/downsample/downsample.0/Conv;370.60608;67.11781373486825
48;/backbone/layer4/layer4.1/conv1/Conv;185.30304;29.485448087052863
49;/backbone/layer4/layer4.1/conv2/Conv;555.90912;49.94346843080092
50;/backbone/layer4/layer4.1/conv3/Conv;185.30304;32.93118573671429
51;/backbone/layer4/layer4.2/conv1/Conv;185.30304;29.485448087052863
52;/backbone/layer4/layer4.2/conv2/Conv;555.90912;49.94346843080092
53;/backbone/layer4/layer4.2/conv3/Conv;185.30304;32.93118573671429
54;/classifier/classifier.0/Conv;2223.63648;201.92601588085864
55;/classifier/classifier.4/Conv;1.8095999999999999;0.9221778550841527
56;/aux_classifier/aux_classifier.0/Conv;555.90912;55.079842311262034
57;/aux_classifier/aux_classifier.4/Conv;0.9047999999999999;0.47637511673287636
